model_id,platoon_size,gap_m,position,cd_lower,cd_upper
Model1,1,0,1,0.700000,0.950000
Model1,2,5,1,0.636723,0.864124
Model1,2,5,2,0.536535,0.728154
Model1,2,10,1,0.694727,0.942844
Model1,2,10,2,0.533898,0.724576
Model1,2,15,1,0.709228,0.962524
Model1,2,15,2,0.552354,0.749623
Model1,2,20,1,0.693409,0.941055
Model1,2,20,2,0.573446,0.778249
Model1,3,5,1,0.643315,0.873070
Model1,3,5,2,0.442938,0.601130
Model1,3,5,3,0.470621,0.638701
Model1,3,10,1,0.682863,0.926742
Model1,3,10,2,0.474576,0.644068
Model1,3,10,3,0.449529,0.610075
Model1,3,15,1,0.697363,0.946422
Model1,3,15,2,0.548399,0.744256
Model1,3,15,3,0.508851,0.690584
Model1,3,20,1,0.645951,0.876648
Model1,3,20,2,0.498305,0.676271
Model1,3,20,3,0.523352,0.710264
Model2,1,0,1,0.700000,0.950000
Model2,2,5,1,0.655673,0.889842
Model2,2,5,2,0.591029,0.802111
Model2,2,10,1,0.683377,0.927441
Model2,2,10,2,0.518997,0.704354
Model2,2,15,1,0.714776,0.970053
Model2,2,15,2,0.530079,0.719393
Model2,2,20,1,0.694459,0.942480
Model2,2,20,2,0.602111,0.817150
Model2,3,5,1,0.616887,0.837203
Model2,3,5,2,0.489446,0.664248
Model2,3,5,3,0.472823,0.641689
Model2,3,10,1,0.711082,0.965040
Model2,3,10,2,0.493140,0.669261
Model2,3,10,3,0.506069,0.686807
Model2,3,15,1,0.738786,1.002639
Model2,3,15,2,0.581794,0.789578
Model2,3,15,3,0.561478,0.762005
Model2,3,20,1,0.683377,0.927441
Model2,3,20,2,0.520660,0.706609
Model2,3,20,3,0.537467,0.729420
